Abacavir (sulfato) 	Glaxosmithkline 	ZIAGENAVIR 	101070234 	20 mg/mL 	sol or 	30/11/2012
Carbocisteína 	Nycomed 	MUCOLITIC 	106390202 	50mg/ml 	sol or (got) 	12/11/2012
Carbocisteína 	Nycomed 	MUCOLITIC 	106390202 	20mg/ml 	xpe 	12/11/2012
Carbocisteína 	Nycomed 	MUCOLITIC 	106390202 	50mg/ml 	xpe 	12/11/2012
Carboplatina 	Pfizer 	PLATAMINE CS 	102160197 	10mg/ml 	sol inj 	12/11/2012
Carmustina 	Bristol Myers Squibb 	Becenun 	101800113 	33,333 mg/ml 	po liof sol inj 	12/11/2012
Carvedilol 	Actavis Farmaceutica Ltda 	CARVEDILOL 	104920186 	3,125mg 	com 	5/5/2015
Carvedilol 	Roche 	COREG 	101000643 	6,25mg 	com 	12/11/2012
Carvedilol 	Roche 	COREG 	101000643 	12,5mg 	com 	12/11/2012
Carvedilol 	Roche 	COREG 	101000643 	25mg 	com 	12/11/2012
Caspofungina (acetato) 	Merck Sharp & Dohme 	CANCIDAS 	100290033 	50mg 	po liof sol inj 	12/11/2012
Caspofungina (acetato) 	Merck Sharp & Dohme 	CANCIDAS 	100290033 	70mg 	po liof sol inj 	12/11/2012
Cefalexina monoidratada 	Bagó 	KEFLEX 	156260017 	50mg/mL 	sus or 	12/11/2012
Cefalexina monoidratada 	Bagó 	KEFLEX 	156260017 	1,5g/15mL (100mg/mL) 	po sol extemp 	12/11/2012
Cefalexina monoidratada 	Bagó 	KEFLEX 	156260017 	100mg/mL 	sus or 	12/11/2012
Cefalexina monoidratada 	Bagó 	KEFLEX 	156260017 	500mg 	drag 	12/11/2012
Cefalexina monoidratada 	Bagó 	KEFLEX 	156260017 	1000mg 	drag 	12/11/2012
Cefalexina monoidratada 	Antibióticos do Brasil 	KEFORAL 	155620001 	500mg 	cap dura 	13/9/2013
Cefalexina monoidratada 	Sandoz 	KEFLAXINA 	100470241 	5g/100mL (50mg/mL) 	pó sus or + diluente 	12/11/2012
Cefalotina sódica (tamponada) 	Antibióticos do Brasil 	KEFLIN NEUTRO 	155620004 	1000 mg 	po liof sol inj 	15/1/2013
Cefazolina sódica 	Antibióticos do Brasil 	KEFAZOL 	""	250 mg 	po sol inj 	7/10/2013
Cefazolina sódica 	Anti ióticos do Brasil 	KEFAZOL 	155620003 	500 mg 	po sol inj 	7/10/2013
Cefazolina sódica 	Antibióticos do Brasil 	KEFAZOL 	155620003 	1000 mg 	po sol inj 	7/10/2013
Cefepima(cloridrato) 	Bristol Myers Squibb 	MAXCEF 	101800253 	1g 	po sol inj 	12/11/2012
Cefepima(cloridrato) 	Bristol Myers Squibb 	MAXCEF 	101800253 	2g 	po sol inj 	12/11/2012
Cefotaxima sódica 	Sanofi-Aventis 	CLAFORAN 	113000028 	250mg/ml (1000mg) 	po sol inj + sol dil 	12/11/2012
Ceftazidima 	Glaxosmithkline 	FORTAZ 	101070170 	1000mg 	po sol inj 	12/11/2012
Ceftazidima 	Glaxosmithkline 	FORTAZ 	101070170 	2000mg 	po sol inj 	12/11/2012
Ceftriaxona dissódica 	Roche 	ROCEFIN 	101000132 	500mg 	po sol inj 	12/11/2012
Ceftriaxona dissódica 	Roche 	ROCEFIN 	101000132 	1000mg 	po sol inj 	12/11/2012
Ceftriaxona dissódica 	Roche 	ROCEFIN 	101000132 	500mg 	po sol inj im 	12/11/2012
Ceftriaxona dissódica 	Roche 	ROCEFIN 	101000132 	1000mg 	po sol inj im 	12/11/2012
Cefuroxima sódica 	Glaxosmithkline 	ZINACEF 	101070221 	750mg 	po sol inj 	12/11/2012
Celecoxibe 	Pfizer 	CELEBRA 	102160135 	100mg 	cap dura 	12/11/2012
Celecoxibe 	Pfizer 	CELEBRA 	102160135 	200 mg 	cap dura 	12/11/2012
Cetirizina (dicloridrato) 	Glaxosmithkline 	ZYRTEC 	101070252 	10mg 	com rev 	12/11/2012
Cetirizina (dicloridrato) 	Glaxosmithkline 	ZYRTEC 	101070252 	1mg/mL 	sol or 	12/11/2012
Cetoconazol 	Janssen Cilag 	NIZORAL 	112360016 	20mg/g 	crem derm 	12/11/2012
Cetoconazol 	Sandoz 	CETOCONAZOL 	100470493 	20mg/g 	xamp 	13/9/2013
Cetoconazol 	Aché 	CANDORAL 	105730067 	200mg 	com 	5/5/2015
Cetoprofeno 	Sanofi-Aventis 	BI - PROFENID 	113000271 	150mg 	com abs retard 	12/11/2012
Cetoprofeno 	Sanofi-Aventis 	PROFENID 	113000271 	100mg 	sup 	12/11/2012
Cetoprofeno 	Sanofi-Aventis 	PROFENID 	113000271 	20mg/mL 	sol or 	12/11/2012
Cetoprofeno 	Sanofi-Aventis 	PROFENID 	113000271 	25mg 	gel 	12/11/2012
Cetoprofeno 	Sanofi-Aventis 	PROFENID 	113000271 	50mg 	cap dura 	12/11/2012
Cetoprofeno 	Sanofi-Aventis 	PROFENID 	113000271 	1mg/mL 	xpe 	12/11/2012
Cetoprofeno 	Sanofi-Aventis 	PROFENID ENTÉRICO 	113000271 	100mg 	com rev 	12/11/2012
Cetoprofeno 	Sanofi-Aventis 	PROFENID IM 	113000271 	50mg/mL 	sol inj 	12/11/2012
Cetoprofeno 	Sanofi-Aventis 	PROFENID IV 	113000271 	100mg 	po liof sol inj 	12/11/2012
Cetoprofeno 	Sanofi-Aventis 	PROFENID RETARD 	113000271 	200mg 	com desint lenta 	12/11/2012
Cetoprofeno (lisinato) 	Aché 	ARTROSIL 	105730128 	160mg 	cap 	12/11/2012
Cetoprofeno (lisinato) 	Aché 	ARTROSIL 	105730128 	320mg 	cap 	12/11/2012
Cetotifeno (fumarato) 	Valeant Farmacêutica 	ZADITEN 	105750009 	0,2mg/mL 	xpe 	12/11/2012
Cetotifeno (fumarato) 	Valeant Farmacêutica 	ZADITEN 	105750009 	1mg 	com 	12/11/2012
Cetotifeno (fumarato) 	Valeant Farmacêutica 	ZADITEN 	105750009 	1mg/mL 	sol or 	12/11/2012
Cetotifeno (fumarato) 	Valeant Farmacêutica 	ZADITEN 	105750009 	0,250 mg/mL 	sol oft 	12/11/2012
Ciclesonida 	Nycomed 	Omnaris 	106390251 	50 mcg/dose 	sus spr nas 	12/11/2012
Ciclobenzaprina (cloridrato) 	Apsen Farmacêutica 	MIOSAN 	101180129 	5mg 	com rev 	12/11/2012
Ciclobenzaprina (cloridrato) 	Apsen Farmacêutica 	MIOSAN 	101180129 	10mg 	com rev 	12/11/2012
Ciclopirox 	Sanofi-Aventis 	LOPROX NL 	113000002 	80mg/g 	esml 	12/11/2012
Ciclopirox olamina 	Sanofi-Aventis 	LOPROX 	113000002 	10mg/g 	crem derm 	12/11/2012
Ciclopirox olamina 	Sanofi-Aventis 	LOPROX 	113000002 	10mg/mL 	sol top 	12/11/2012
Ciclosporina 	Allergan 	RESTASIS 	101470160 	0,5mg/g 	emul oft 	12/11/2012
Ciclosporina 	Novartis Biociências 	SANDIMMUN 	100680020 	50 mg/mL 	sol inj 	12/11/2012
Ciclosporina 	Novartis Biociências 	SANDIMMUN NEORAL 	100680020 	100 mg/mL 	sol or 	12/11/2012
Ciclosporina 	Novartis Biociências 	SANDIMMUN NEORAL 	100680020 	25mg 	cap mole 	12/11/2012
Ciclosporina 	Novartis Biociências 	SANDIMMUN NEORAL 	100680020 	50mg 	cap mole 	12/11/2012
Ciclosporina 	Novartis Biociências 	SANDIMMUN NEORAL 	100680020 	100mg 	cap mole 	12/11/2012
Cilazapril 	Roche 	VASCASE 	101000181 	1mg 	com rev 	12/11/2012
Cilazapril 	Roche 	VASCASE 	101000181 	2,5mg 	com rev 	12/11/2012
Cilazapril 	Roche 	VASCASE 	101000181 	5,0mg 	com rev 	12/11/2012
Cilostazol 	Libbs 	CEBRALAT 	100330101 	50mg 	com 	12/11/2012
Cilostazol 	Libbs 	CEBRALAT 	100330101 	100mg 	com 	12/11/2012
Cimetidina 	Glaxosmithkline 	TAGAMET 	101070163 	200mg 	com rev 	12/11/2012
Cimetidina 	Glaxosmithkline 	TAGAMET 	101070163 	400mg 	com rev 	12/11/2012
Cimetidina 	Teuto 	CIMETIDINA 	103700402 	150mg/mL 	sol inj 	7/3/2013
Cinarizina 	Janssen Cilag 	STUGERON 	112360002 	25mg 	com 	12/11/2012
Cinarizina 	Janssen Cilag 	STUGERON 	112360002 	75mg 	com 	12/11/2012
Cinacalcete (cloridrato) 	Bergamo 	MIMPARA 	106460191 	30mg 	com rev 	10/5/2013
Cinacalcete (cloridrato) 	Bergamo 	MIMPARA 	106460191 	60mg 	com rev 	10/5/2013
Ciprofibrato 	Sanofi-Aventis 	OROXADIN 	113001027 	100mg 	com 	12/11/2012
Ciprofloxacino (solução de glicose) 	Bayer 	CIPRO 	104290056 	2mg/mL (0,2%) 	sol inj 	12/11/2012
Ciprofloxacino (solução de cloreto de	""	""	""	""	""	""
sódi ) o	HalexIstar 	CIPROFLOXACINO 	103110120 	2mg/ml 	sol inj 	12/11/2012
Ciprofloxacino (cloridrato) 	Novartis Biociências 	CILOXAN 	100681093 	3mg/mL 	sol oft 	12/11/2012
Ciprofloxacino (cloridrato) 	Allergan 	BIAMOTIL 	101470164 	3,5mg/g 	pom oft 	12/11/2012
Ciprofloxacino (cloridrato) 	Allergan 	BIAMOTIL 	101470164 	3,5mg/mL 	sol oft 	12/11/2012
Ciprofloxacino (cloridrato) 	Bayer 	CIPRO 	104290056 	250mg 	com rev 	12/11/2012
Ciprofloxacino (cloridrato) 	Bayer 	CIPRO 	104290056 	500mg 	com rev 	12/11/2012
Ciproterona (acetato) 	Bayer 	ANDROCUR 	170560066 	50mg 	com 	12/11/2012
Ciproterona (acetato) 	Bayer 	ANDROCUR 	170560066 	100mg 	com 	12/11/2012
Cisatracúrio (besilato) 	Glaxosmithkline 	NIMBIUM 	101070213 	2mg/mL 	sol inj 	12/11/2012
Cisatracúrio (besilato) 	Glaxosmithkline 	NIMBIUM 	101070213 	5mg/mL 	sol inj 	12/11/2012
Cisplatina 	Blau Farmacêutica 	C-PLATIN 	116370039 	1mg/ml 	sol inj 	12/11/2012
Cisplatina 	Blau Farmacêutica 	C-PLATIN 	116370039 	0,5mg/ml 	sol inj 	10/12/2014
Citarabina 	Pfizer 	ARACYTIN CS 	102160143 	20mg/mL 	sol inj 	12/11/2012
Citarabina 	Pfizer 	ARACYTIN CS 	102160143 	100mg/mL 	sol inj 	12/11/2012
Citarabina 	Pfizer 	ARACYTIN 	102160143 	100mg 	po liof sol inj 	12/11/2012
Citarabina 	Janssen Cilag 	LEUSTATIN 	112363341 	1mg/mL 	sol inj 	12/11/2012
Claritromicina 	Abbott 	KLARICID 	105530200 	25mg/mL 	gran sus or 	12/11/2012
Claritromicina 	Abbott 	KLARICID 	105530200 	50mg/mL 	gran sus or 	12/11/2012
Claritromicina 	Abbott 	KLARICID 	105530200 	500mg 	po liof sol inj 	12/11/2012
Claritromicina 	Abbott 	KLARICID UD 	105530200 	500mg 	com rev lib prol 	12/11/2012
Claritromicina 	Medley 	CLARITROMICINA 	101810328 	250mg 	com rev 	10/5/2013
Claritromicina 	Medley 	CLARITROMICINA 	101810328 	500mg 	com rev 	10/5/2013
Clindamicina (cloridrato) 	Pfizer 	DALACIN C 	102160173 	300mg 	cap dura 	12/11/2012
Clindamicina (fosfato) 	Stiefel 	CLINAGEL 	106750042 	10,3mg/g 	gel 	12/11/2012
Clindamicina (fosfato) 	União Química 	FOSFATO DE CLINDAMICINA 	104970284 	150 mg/ml 	sol inj 	13/3/2013
Clindamicina (fosfato) 	Pfizer 	DALACIN T 	102160153 	10mg/ml 	sol top 	12/11/2012
Clobazam 	Sanofi-Aventis 	FRISIUM 	113000042 	10mg 	com 	12/11/2012
Clobazam 	Sanofi-Aventis 	FRISIUM 	113000042 	20 mg 	com 	12/11/2012
Clobetasol (propionato) 	Glaxosmithkline 	PSOREX 	101070198 	0,5mg/g 	sol capilar 	12/11/2012
Clobetasol (propionato) 	Glaxosmithkline 	PSOREX 	101070198 	0,5mg/g 	crem derm 	12/11/2012
Clobetasol (propionato) 	Glaxosmithkline 	PSOREX 	101070198 	0,5mg/g 	pom derm 	12/11/2012
Clobutinol (cloridrato) 	EMS S/A 	CLORIDRATO DE CLOBUTINOL 	102350816 	4mg/ml 	xpe 	7/6/2013
Clomipramina (cloridrato) 	Novartis Biociências 	ANAFRANIL 	100680061 	25 mg 	drag 	12/11/2012
Clomipramina (cloridrato) 	Novartis Biociências 	ANAFRANIL 	100680061 	75mg 	com lib lenta 	12/11/2012
Clonazepam 	Roche 	RIVOTRIL 	101000072 	0,5mg 	com 	12/11/2012
Clonazepam 	Roche 	RIVOTRIL 	101000072 	2,0mg 	com 	12/11/2012
Clonazepam 	Roche 	RIVOTRIL 	101000072 	0,25mg 	com subl 	12/11/2012
Clonazepam 	Roche 	RIVOTRIL 	101000072 	2,5mg/ml 	sol or (got) 	12/11/2012
Clonidina (cloridrato) 	Boehringer Ingelheim 	ATENSINA 	103670058 	100mcg 	com 	12/11/2012
Clonidina (cloridrato) 	Boehringer Ingelheim 	ATENSINA 	103670058 	150mcg 	com 	12/11/2012
Clonidina (cloridrato) 	Boehringer Ingelheim 	ATENSINA 	103670058 	200mcg 	com 	12/11/2012
Clonidina (cloridrato) 	Cristália 	CLONIDIN 	102980193 	150 mcg/mL 	sol inj 	12/11/2012
Clonixinato de lisina 	Farmoquímica 	DOLAMIN 	103900139 	125mg 	com rev 	22/1/2013
Cloperastina (fendizoato) 	Zambon 	SEKI 	100840140 	35,4mg/ml 	sus or 	12/11/2012
Cloperastina (fendizoato) 	Zambon 	SEKI 	100840140 	3,54mg/ml 	xpe 	21/1/2013
Clopidogrel (bissulfato) 	Sanofi-Aventis 	PLAVIX 	113001002 	300 mg 	com rev 	12/11/2012
Clopidogrel (bissulfato) 	Sanofi-Aventis 	PLAVIX 	113001002 	75 mg 	com rev 	13/9/2013
Clorambucila 	Glaxosmithkline 	LEUKERAN 	101070208 	2mg 	com rev 	12/11/2012
Cloranfenicol (levógiro) 	Pfizer 	QUEMICETINA 	102160127 	500 mg 	drag 	12/11/2012
Cloridrato de aminolevulinato de metila 	Galderma 	METVIX 	129160065 	160mg/g 	crem derm 	30/11/2015
Cloridrato de dapoxetina 	Janssen Cilag 	PRILIGY 	112363397 	30mg 	com rev 	12/11/2012
Cloridrato de dapoxetina 	Janssen Cilag 	PRILIGY 	112363397 	60mg 	com rev 	12/11/2012
Cloridrato de epinastina 	Allergan 	RELESTAT 	101470163 	0,5mg/mL 	sol oft 	12/11/2012
Cloridrato de palonosetrona 	Schering Plough 	ONICIT 	101710181 	0,05mg/mL 	sol inj 	12/11/2012
Cloridrato de sibutramina 	Aché 	BIOMAG 	105730371 	10mg 	cap gel dura 	7/6/2013
Cloridrato de sibutramina 	Aché 	BIOMAG 	105730371 	15mg 	cap gel dura 	7/6/2013
Cloridrato de valganciclovir 	Roche 	VALCYTE 	101000593 	450mg 	com rev 	12/11/2012
Clorpromazina (cloridrato) 	Sanofi-Aventis 	AMPLICTIL 	113000297 	25mg 	com rev 	12/11/2012
Clorpromazina (cloridrato) 	Sanofi-Aventis 	AMPLICTIL 	113000297 	100mg 	com rev 	12/11/2012
Clorpromazina (cloridrato) 	Sanofi-Aventis 	AMPLICTIL 	113000297 	40mg/mL 	sol or 	12/11/2012
Clorpromazina (cloridrato) 	Sanofi-Aventis 	AMPLICTIL 	113000297 	5,0mg/mL 	sol inj 	12/11/2012
Clorpropamida 	Pfizer 	DIABINESE 	102160010 	250mg 	com 	12/11/2012
Clortalidona 	Novartis Biociências 	HIGROTON 	100680067 	12,5mg 	com 	12/11/2012
Clortalidona 	Novartis Biociências 	HIGROTON 	100680067 	25mg 	com 	12/11/2012
Clortalidona 	Novartis Biociências 	HIGROTON 	100680067 	50mg 	com 	12/11/2012
Clotrimazol 	Bayer 	CANESTEN 	104290013 	10mg/g 	sol top (spr) 	12/11/2012
Clotrimazol 	Bayer 	CANESTEN 	104290013 	10mg/g 	crem derm 	12/11/2012
Clotrimazol 	Bayer 	CANESTEN 	104290013 	10mg/g 	po 	12/11/2012
Clotrimazol 	Bayer 	GINO CANESTEN 	104290042 	10mg/g 	crem vag 	12/11/2012
Clotrimazol 	Bayer 	GINO CANESTEN 	104290042 	20mg/g 	crem vag 	12/11/2012
Clotrimazol 	Bayer 	GINO CANESTEN 	104290042 	100mg 	com vag 	12/11/2012
Clotrimazol 	Bayer 	GINO CANESTEN 	104290042 	500mg 	com vag 	12/11/2012
Cloxazolam 	Novartis Biociências 	OLCADIL 	100680042 	1,0mg 	com 	12/11/2012
Cloxazolam 	Novartis Biociências 	OLCADIL 	100680042 	2,0mg 	com 	12/11/2012
Cloxazolam 	Novartis Biociências 	OLCADIL 	100680042 	4,0mg 	com 	12/11/2012
Clozapina 	Novartis Biociências 	LEPONEX 	100680027 	25mg 	com 	12/11/2012
Clozapina 	Novartis Biociências 	LEPONEX 	100680027 	100mg 	com 	12/11/2012
Codergocrina (mesilato) 	Novartis Biociências 	HYDERGINE 	100680064 	0,3mg/mL 	sol inj 	12/11/2012
Codergocrina (mesilato) 	Novartis Biociências 	HYDERGINE 	100680064 	1mg 	cap dura 	12/11/2012
Codergocrina (mesilato) 	Novartis Biociências 	HYDERGINE 	100680064 	4,5mg 	com 	12/11/2012
Codergocrina (mesilato) 	Novartis Biociências 	HYDERGINE 	100680064 	1,0 mg/mL 	sol or 	12/11/2012
Codergocrina (mesilato) 	Novartis Biociências 	HYDERGINE 	100680064 	6mg 	cap dura desint gradual 	12/11/2012
Codergocrina (mesilato) 	Biosintética 	mesilato de codergocrina 	112130407 	4,5mg/1,5ml 	sol or 	29/1/2016
Colchicina 	Apsen Farmacêutica 	COLCHIS 	101180109 	0,5mg 	com 	12/11/2012
Colchicina 	Apsen Farmacêutica 	COLCHIS 	101180109 	1mg 	com 	12/11/2012
Colestiramina 	Bristol Myers Squibb 	QUESTRAN LIGHT 	101800109 	852,9 mg/g 	po or 	16/5/2013
Colistimetato sódico 	Opem 	COLIS-TEK 	127480023 	150mg colistina base 	po sol inj 	12/11/2012
Colistimetato sódico 	Opem 	PROMIXIN 	127480028 	1.000.000 Ui 	po liof sol inj 	12/11/2012
Cromoglicato dissódico 	Allergan 	CROMOLERG OCULUM 	101470096 	2PCC (20mg/g) 	sol oft 	12/11/2012
Cromoglicato dissódico 	Allergan 	CROMOLERG OCULUM 	101470096 	4PCC (40mg/g) 	sol oft 	12/11/2012
Cromoglicato dissódico 	UCI Farma 	RILAN 	105500068 	20mg/mL 	sol spr nas 	13/3/2013
Cromoglicato dissódico 	UCI Farma 	RILAN 	105500068 	40mg/mL 	sol spr nas 	13/3/2013
Dabigatrana (etexilato) 	Boehringer Ingelheim 	PRADAXA 	103670160 	75mg 	cap 	22/4/2013
Dabigatrana (etexilato) 	Boehringer Ingelheim 	PRADAXA 	103670160 	110mg 	cap 	22/4/2013
Dabigatrana (etexilato) 	Boehringer Ingelheim 	PRADAXA 	103670160 	150 mg 	cap 	22/4/2013
Dacarbazina 	Eurofarma 	DACARB 	100430636 	100mg 	po liof sol inj 	12/11/2012
Dacarbazina 	Eurofarma 	DACARB 	100430636 	200mg 	po liof sol inj 	12/11/2012
Dactinomicina 	Bagó 	COSMEGEN 	156260014 	0,5mg 	po liof sol inj 	12/11/2012
Danazol 	Sanofi-Aventis 	LADOGAL 	113001039 	100mg 	cap dura 	12/11/2012
Danazol 	Sanofi-Aventis 	LADOGAL 	113001039 	200mg 	cap dura 	12/11/2012
Dapaglifozina 	Bristol Myers Squibb 	FORXIGA 	101800404 	5mg 	com rev 	24/6/2014
Dapaglifozina 	Bristol Myers Squibb 	FORXIGA 	101800404 	10mg 	com rev 	24/6/2014
Dapoxetina (cloridrato) 	Janssen Cilag 	PRILIGY 	112363397 	30mg 	com rev 	20/11/2012
Dapoxetina (cloridrato) 	Janssen Cilag 	PRILIGY 	112363397 	60 mg 	com rev 	20/11/2012
Daptomicina 	Novartis Biociências 	CUBICIN 	100681058 	500 mg 	po liof sol inj 	15/1/2013
Darifenacina (bromidrato) 	Novartis Biociências 	ENABLEX 	100681049 	7,5mg 	com rev lib progr 	12/11/2012
Darifenacina (bromidrato) 	Novartis Biociências 	ENABLEX 	100681049 	15,0mg 	com rev lib progr 	12/11/2012
Darunavir 	Janssen Cilag 	PREZISTA 	112363387 	75mg 	com rev 	30/4/2013
Darunavir 	Janssen Cilag 	PREZISTA 	112363387 	150mg 	com rev 	30/4/2013
Darunavir 	Janssen Cilag 	PREZISTA 	112363387 	300mg 	com rev 	30/4/2013
Dasatinibe 	Bristol Myers Squibb 	SPRYCEL 	101800392 	20mg 	com rev 	12/11/2012
Dasatinibe 	Bristol Myers Squibb 	SPRYCEL 	101800392 	50mg 	com rev 	12/11/2012
Dasatinibe 	Bristol Myers Squibb 	SPRYCEL 	101800392 	100mg 	com rev 	1/7/2014
Daunorrubicina (cloridrato) 	Pfizer 	DAUNOBLASTINA 	102160214 	20mg 	po liof sol inj 	12/11/2012
Decitabina 	Janssen Cilag 	DACOGEN 	112363390 	50mg 	po liof sol inj 	12/11/2012
Deferasirox 	Novartis Biociências 	EXJADE 	100681040 	125mg 	com disp 	22/1/2013
Deferasirox 	Novartis Biociências 	EXJADE 	100681040 	250mg 	com disp 	22/1/2013
Deferasirox 	Novartis Biociências 	EXJADE 	100681040 	500mg 	com disp 	22/1/2013
Deferoxamina (mesilato) 	Novartis Biociências 	DESFERAL 	100680053 	500mg 	po liof sol inj 	12/11/2012
Deflazacorte 	Sanofi-Aventis 	CALCORT 	113000201 	6,0mg 	com 	12/11/2012
Deflazacorte 	Sanofi-Aventis 	CALCORT 	113000201 	30mg 	com 	12/11/2012
Degarelix (acetato) 	Ferring 	FIRMAGON 	128760017 	80mg 	po liof sol inj 	12/11/2012
Degarelix (acetato) 	Ferring 	FIRMAGON 	128760017 	120mg 	po liof sol inj 	12/11/2012
Deslanósido 	União Química 	DESLANOL 	104971229 	0,2mg/mL 	sol inj 	12/11/2012
Desloratadina 	Merck Sharp & Dohme 	DESALEX 	100290191 	0,5mg/ml 	xpe 	12/11/2012
Desloratadina 	Merck Sharp & Dohme 	DESALEX 	100290191 	5mg 	com rev 	12/11/2012
Desmopressina (acetato) 	Ferring 	DDAVP 	128760015 	0,1mg/mL 	sol nas 	12/11/2012
Desmopressina (acetato) 	Ferring 	DDAVP 	128760015 	0,1mg 	com 	12/11/2012
Desmopressina (acetato) 	Ferring 	DDAVP 	128760015 	0,2mg 	com 	12/11/2012
Desmopressina (acetato) 	Ferring 	DDAVP 	128760015 	4mcg/mL 	sol inj 	12/11/2012
Desogestrel 	Organon 	CERAZETTE 	101710089 	75mcg 	com rev 	12/11/2012
Desonida 	Aché 	ADINOS 	105730378 	0,500mg/g 	gel crem 	12/11/2012
Desoximetasona 	Sanofi-Aventis 	ESPERSON 	113000037 	2,5mg/g 	pom derm 	12/11/2012
Desvenlafaxina (succinato monoidratado) 	Wyeth 	PRISTIQ 	121100273 	75,87 mg (50mg) 	com rev lib prol 	12/11/2012
Desvenlafaxina (succinato monoidratado) 	Wyeth 	PRISTIQ 	121100273 	151,77 mg (100mg) 	com rev lib prol 	12/11/2012
Dexametasona 	Novartis Biociências 	MAXIDEX 	100681097 	1mg/mL 	sus oft 	12/11/2012
Dexametasona 	Novartis Biociências 	MAXIDEX 	100681097 	1mg/g 	pom oft 	12/11/2012
Dexclorfeniramina (maleato) 	Mantecorp 	POLARAMINE 	100930082 	10mg/g 	crem derm 	5/12/2012
Dexclorfeniramina (maleato) 	Mantecorp 	POLARAMINE 	100930082 	2mg 	com rev 	5/12/2012
Dexclorfeniramina (maleato) 	Mantecorp 	POLARAMINE 	100930082 	6,0mg 	drag 	5/12/2012
Dexclorfeniramina (maleato) 	Mantecorp 	POLARAMINE 	100930082 	0,4mg/ml 	sol or 	1/7/2014
Dexmedetomidina(Cloridrato) 	Hospira Prod.Hosp. Ltda 	PRECEDEX 	162500001 	100mcg/ml 	sol inj 	12/11/2012
Dextrocetamina (cloridrato) 	Cristália 	KETAMIN 	102980213 	50mg/ml 	sol inj 	13/3/2013
Dextrometorfano (bromidrato) 	Johnson & Johnson 	BENALET TSC 	157210010 	3mg/mL 	xpe 	12/11/2012
Diazepam 	Roche 	VALIUM 	101000091 	5mg 	com 	12/11/2012
Diazepam 	Roche 	VALIUM 	101000091 	10 mg 	com 	12/11/2012
Diazepam 	União Química 	DIAZEPAM 	104971235 	5mg/mL 	sol inj 	12/11/2012
Diclofenaco (ácido) 	Novartis Biociências 	CATAFLAM 	100680038 	1,8mg/mL 	sus or 	12/11/2012
Diclofenaco (ácido) 	Novartis Biociências 	CATAFLAM D 	100680038 	44,3mg 	com disp 	12/11/2012
""	""	""	""	""	""	""
Diclofenaco (colestiramina)	Novartis Biociências	FLOTAC	100680102	140mg	cap dura	12/11/2012
""	""	""	""	""	""	""
Diclofenaco (dietilamônio)	Novartis Biociências	CATAFLAM	100680038	11,6mg	sol top aer	12/11/2012
""	""	""	""	""	""	""
Diclofenaco (resinato)	Novartis Biociências	CATAFLAM	100680038	44,94mg/mL	sus or (got)	12/11/2012
""	""	""	""	""	""	""
Diclofenaco potássico	Novartis Biociências	CATAFLAM	100680038	25mg/mL	sol inj	12/11/2012
""	""	""	""	""	""	""
Diclofenaco potássico	Novartis Biociências	CATAFLAM	100680038	50mg	drag	12/11/2012
""	""	""	""	""	""	""
Diclofenaco potássico	Novartis Biociências	CATAFLAM DOLO	100680038	12,5mg	com rev	12/11/2012
""	""	""	""	""	""	""
Diclofenaco (dietilamônio)	Novartis Biociências	CATAFLAMPRO EMUGEL	100681092	11,6mg/g	gel	10/12/2014
""	""	""	""	""	""	""
Diclofenaco sódico	Merck S/A	ARTREN	100890184	100mg	cap dura	12/11/2012
""	""	""	""	""	""	""
Diclofenaco sódico	Novartis Biociências	VOLTAREN	100680060	25mg/mL	sol inj	12/11/2012
""	""	""	""	""	""	""
Diclofenaco sódico	Novartis Biociências	VOLTAREN	100680060	50mg	com rev	12/11/2012
""	""	""	""	""	""	""
Diclofenaco sódico	Novartis Biociências	VALOTAREN RETARD	100680060	100mg	com rev desint lenta	12/11/2012
""	""	""	""	""	""	""
Diclofenaco sódico	Novartis Biociências	VOLTAREN SR	100680060	75mg	com rev desint lenta	12/11/2012
Diclofenaco sódico	EMS S/A	DICLOFENACO SÓDICO	102350785	10mg/g	gel	15/4/2013
Diclofenaco sódico	Zodiac	FLODIN DUO	122140043	150mg	com desint lenta	12/11/2012
""	""	""	""	""	""	""
Didanosina	Bristol Myers Squibb	VIDEX EC	101800150	250mg	"cap gel dura com grangastrorresistentes"	30/4/2013
""	""	""	""	""	""	""
Didanosina	Bristol Myers Squibb	VIDEX EC	101800150	400mg	"cap gel dura com grangastrorresistentes"	30/4/2013
""	""	""	""	""	""	""
Didanosina	Bristol Myers Squibb	VIDEX EC	101800150	4g	po sol or	30/4/2013
""	""	""	""	""	""	""
Didrogesterona	Solvay Farma	DUPHASTON	105530347	10mg	com rev	12/11/2012
""	""	""	""	""	""	""
Dienogeste	Bayer	ALLURENE	170560088	2mg	com	12/11/2012
""	""	""	""	""	""	""
Digoxina	Aspen Pharma	DIGOXINA	137640129	0,05mg/ml	elx	23/7/2013
""	""	""	""	""	""	""
Digoxina	Aspen Pharma	DIGOXINA	137640129	0,25mg	com	12/11/2012
""	""	""	""	""	""	""
Dissulfiram	Sanofi-Aventis	ANTIETANOL	113000229	250mg	com	23/1/2012
""	""	""	""	""	""	""
Diltiazem (cloridrato)	Boehringer Ingelheim	CARDIZEM	103670062	30mg	com	12/11/2012
""	""	""	""	""	""	""
Diltiazem (cloridrato)	Boehringer Ingelheim	CARDIZEM	103670062	60mg	com	12/11/2012
